0, 0 
324733, 324882 
649240, 649507 
973521, 973872 
1297575, 1297979 
1621402, 1621827 
1945004, 1945417 
2268379, 2268748 
2591528, 2591821 
2914451, 2914635 
3237148, 3237191 
3559619, 3559489 
3881863, 3881529 
4203882, 4203311 
4525675, 4524835 
4847243, 4846100 
5168584, 5167108 
5489700, 5487858 
5810590, 5808351 
6131255, 6128585 
6451694, 6448562 
6771907, 6768282 
7091895, 7087744 
7411658, 7406948 
7731196, 7725896 
8050508, 8044585 
8369595, 8363018 
8688457, 8681194 
9007093, 8999112 
9325505, 9316773 
9643692, 9634177 
9961654, 9951325 
10279391, 10268215 
10596903, 10584849 
10914190, 10901226 
11231253, 11217347 
11548091, 11533210 
11864704, 11848818 
12181093, 12164169 
12497257, 12479263 
12813197, 12794101 
13128913, 13108683 
13444404, 13423009 
13759671, 13737078 
14074714, 14050891 
14389533, 14364449 
14704127, 14677750 
15018498, 14990796 
15332644, 15303586 
15646567, 15616120 
15960265, 15928398 
16273740, 16240421 
16586991, 16552188 
16900019, 16863699 
17212822, 17174956 
17525402, 17485956 
17837759, 17796702 
18149892, 18107192 
18461802, 18417428 
18773488, 18727408 
19084951, 19037133 
19396190, 19346603 
19707207, 19655818 
20018000, 19964778 
20328570, 20273484 
20638917, 20581934 
20949041, 20890131 
21258942, 21198072 
21568620, 21505759 
21878076, 21813192 
22187308, 22120370 
22496318, 22427294 
22805105, 22733963 
23113670, 23040379 
23422012, 23346540 
23730131, 23652447 
24038028, 23958100 
24345703, 24263500 
24653155, 24568645 
24960385, 24873536 
25267393, 25178174 
25574179, 25482558 
25880742, 25786689 
26187084, 26090566 
26493203, 26394189 
26799101, 26697559 
27104776, 27000676 
27410230, 27303540 
27715462, 27606150 
28020472, 27908507 
28325260, 28210611 
28629827, 28512461 
28934173, 28814059 
29238296, 29115404 
29542199, 29416496 
29845880, 29717336 
30149339, 30017923 
30452577, 30318257 
30755594, 30618338 
31058390, 30918167 
31360965, 31217743 
31663318, 31517067 
31965451, 31816139 
32267363, 32114959 
32569053, 32413526 
32870523, 32711841 
33171772, 33009904 
33472801, 33307715 
33773608, 33605275 
34074195, 33902582 
34374562, 34199637 
34674707, 34496441 
34974633, 34792993 
35274338, 35089294 
35573822, 35385343 
35873087, 35681140 
36172131, 35976686 
36470955, 36271981 
36769558, 36567024 
37067942, 36861816 
37366105, 37156357 
37664049, 37450647 
37961773, 37744686 
38259277, 38038474 
38556561, 38332011 
38853625, 38625297 
39150469, 38918332 
39447094, 39211117 
39743500, 39503651 
40039685, 39795934 
40335652, 40087967 
40631398, 40379750 
40926926, 40671282 
41222234, 40962564 
41517323, 41253595 
41812193, 41544377 
42106843, 41834908 
42401275, 42125189 
42695487, 42415220 
42989480, 42705001 
43283255, 42994533 
43576810, 43283814 
43870147, 43572846 
44163265, 43861628 
44456165, 44150161 
44748845, 44438444 
45041307, 44726477 
45333551, 45014261 
45625576, 45301796 
45917382, 45589082 
46208970, 45876118 
46500340, 46162905 
46791492, 46449443 
47082425, 46735732 
47373140, 47021772 
47663637, 47307563 
47953916, 47593105 
48243977, 47878399 
48533820, 48163444 
48823446, 48448240 
49112853, 48732787 
49402042, 49017087 
49691014, 49301137 
49979768, 49584939 
50268305, 49868493 
50556624, 50151799 
50844726, 50434857 
51132610, 50717666 
51420276, 51000227 
51707726, 51282541 
51994958, 51564606 
52281972, 51846424 
52568770, 52127993 
52855350, 52409315 
53141714, 52690390 
53427860, 52971217 
53713790, 53251796 
53999502, 53532128 
54284998, 53812212 
54570277, 54092049 
54855339, 54371639 
55140185, 54650981 
55424814, 54930076 
55709226, 55208925 
55993422, 55487526 
56277401, 55765880 
56561164, 56043988 
56844711, 56321848 
57128041, 56599462 
57411155, 56876829 
57694053, 57153949 
57976735, 57430823 
58259201, 57707451 
58541450, 57983832 
58823484, 58259966 
59105302, 58535854 
59386904, 58811496 
59668290, 59086892 
59949460, 59362042 
60230415, 59636946 
60511154, 59911603 
60791678, 60186015 
61071985, 60460181 
61352078, 60734101 
61631955, 61007775 
61911617, 61281204 
62191063, 61554387 
62470294, 61827325 
62749310, 62100017 
63028111, 62372464 
63306697, 62644665 
63585068, 62916621 
63863223, 63188332 
64141164, 63459798 
64418890, 63731018 
64696401, 64001994 
64973698, 64272725 
65250779, 64543210 
65527646, 64813451 
65804299, 65083447 
66080737, 65353199 
66356960, 65622706 
66632969, 65891968 
66908764, 66160986 
67184344, 66429759 
67459710, 66698288 
67734862, 66966573 
68009800, 67234613 
68284524, 67502410 
68559033, 67769962 
68833329, 68037270 
69107410, 68304334 
69381278, 68571154 
69654932, 68837731 
69928372, 69104063 
70201599, 69370152 
70474612, 69635997 
70747411, 69901599 
71019997, 70166957 
